comuna,tipo_inoperatividad,km_total,%
SAN BERNARDO,Inoperativo por segregacion vereda,119.21162104410001,0.03
SAN BERNARDO,Inoperativo por superficie,1179.7149693051,0.28
SAN BERNARDO,Operativo,3835.25386943878,0.9
SAN JOAQUÍN,Inoperatividad Doble o mas,1022.42794453552,0.24
SAN JOAQUÍN,Inoperativo por segregacion calzada,59.6966912072,0.01
SAN JOAQUÍN,Inoperativo por segregacion vereda,3245.9392584687,0.76
SAN JOAQUÍN,Inoperativo por superficie,1328.641218636,0.31
SAN JOAQUÍN,Operativo,7750.32541803652,1.81
SAN MIGUEL,Operativo,788.37747195893,0.18
SAN RAMÓN,Inoperatividad Doble o mas,1302.3930089811,0.3
SAN RAMÓN,Inoperativo por segregacion calzada,1570.563057899,0.37
SAN RAMÓN,Operativo,317.84855204163,0.07
SANTIAGO,Inoperatividad Doble o mas,12826.54557323563,3
SANTIAGO,Inoperativo por segregacion calzada,12378.806213733,2.9
SANTIAGO,Inoperativo por segregacion vereda,425.4524393499,0.1
SANTIAGO,Inoperativo por superficie,1450.961954008,0.34
SANTIAGO,Operativo,43046.81451889914,10.07
VITACURA,Inoperatividad Doble o mas,55.4265302771,0.01
VITACURA,Inoperativo por segregacion calzada,3154.2331595312,0.74
VITACURA,Inoperativo por segregacion vereda,87.8359766824,0.02
VITACURA,Operativo,2813.9913316152,0.66
